,年,週,年齡別,縣市,腸病毒急診就診人次
659,2007,40,0,南投縣,1
660,2007,40,0,高雄市,4
661,2007,41,0,新竹市,2
662,2007,1,4-6,台中市,2
663,2007,5,1-3,彰化縣,5
664,2007,5,4-6,台南市,2
665,2007,8,7-15,新北市,1
666,2007,9,1-3,新竹市,5
667,2007,9,0,台中市,2
668,2007,13,4-6,桃園市,2
669,2007,13,4-6,高雄市,3
670,2007,16,0,桃園市,1
671,2007,18,0,高雄市,1
672,2007,18,0,新竹市,1
673,2007,19,0,台北市,4
674,2007,19,0,桃園市,1
675,2007,19,7-15,彰化縣,1
676,2007,20,1-3,宜蘭縣,3
677,2007,21,4-6,花蓮縣,1
678,2007,23,1-3,宜蘭縣,6
679,2007,24,1-3,台南市,32
680,2007,25,1-3,高雄市,65
681,2007,26,1-3,基隆市,10
682,2007,26,1-3,彰化縣,47
683,2007,26,4-6,台北市,18
684,2007,26,4-6,桃園市,13
685,2007,24,1-3,新竹市,28
686,2007,24,4-6,高雄市,16
687,2007,24,7-15,台北市,8
688,2007,25,4-6,南投縣,6
689,2007,27,0,苗栗縣,1
690,2007,27,0,高雄市,5
691,2007,28,1-3,高雄市,50
692,2007,31,4-6,台中市,12
693,2007,31,0,彰化縣,10
694,2007,32,16+,新北市,1
695,2007,33,7-15,台中市,1
696,2007,34,0,澎湖縣,1
697,2007,34,0,台北市,10
698,2007,35,4-6,新竹市,5
699,2007,35,0,桃園市,6
700,2007,35,7-15,彰化縣,1
701,2007,36,0,台中市,1
702,2007,38,1-3,台中市,21
703,2007,40,0,台南市,1
704,2007,40,1-3,桃園市,30
705,2007,40,1-3,高雄市,27
706,2007,40,4-6,高雄市,10
707,2007,3,4-6,台中市,1
708,2007,8,1-3,高雄市,8
709,2007,8,0,彰化縣,1
710,2007,8,7-15,彰化縣,1
711,2007,9,4-6,南投縣,1
712,2007,15,1-3,台北市,12
713,2007,15,1-3,台南市,3
714,2007,16,0,新竹市,1
715,2007,16,1-3,宜蘭縣,1
716,2007,16,4-6,屏東縣,1
717,2007,19,0,新竹市,1
718,2007,19,0,澎湖縣,1
719,2007,20,1-3,台南市,10
720,2007,22,1-3,高雄市,29
721,2007,22,4-6,南投縣,1
722,2007,23,1-3,台北市,27
723,2007,23,1-3,基隆市,6
724,2007,23,4-6,台北市,17
725,2007,23,4-6,台東縣,1
726,2007,23,4-6,苗栗縣,1
727,2007,24,1-3,花蓮縣,5
728,2007,24,0,嘉義縣,4
729,2007,25,1-3,花蓮縣,15
730,2007,1,4-6,宜蘭縣,1
731,2007,1,0,台北市,2
732,2007,1,0,桃園市,3
733,2007,2,16+,新竹市,1
734,2007,2,1-3,花蓮縣,2
735,2007,4,1-3,宜蘭縣,1
736,2007,4,7-15,台北市,1
737,2007,6,1-3,屏東縣,1
738,2007,6,1-3,彰化縣,2
739,2007,8,1-3,雲林縣,2
740,2007,9,1-3,嘉義市,3
741,2007,11,1-3,台東縣,1
742,2007,12,0,雲林縣,1
743,2007,12,0,嘉義市,1
744,2007,19,0,台中市,1
745,2007,20,16+,高雄市,1
746,2007,20,0,台東縣,1
747,2007,20,7-15,新北市,2
748,2007,22,4-6,新竹市,2
749,2007,23,0,澎湖縣,1
750,2007,23,16+,高雄市,1
751,2007,25,1-3,新北市,35
752,2007,26,4-6,澎湖縣,3
753,2007,1,1-3,南投縣,4
754,2007,1,1-3,屏東縣,2
755,2007,1,4-6,高雄市,2
756,2007,7,7-15,高雄市,1
757,2007,8,0,台北市,1
758,2007,11,1-3,苗栗縣,1
759,2007,12,16+,桃園市,1
760,2007,13,4-6,台中市,2
761,2007,14,1-3,彰化縣,7
762,2007,17,0,基隆市,2
763,2007,17,1-3,台北市,2
764,2007,19,4-6,新北市,1
765,2007,19,0,台中市,1
766,2007,20,1-3,南投縣,3
767,2007,21,0,台南市,3
768,2007,23,1-3,彰化縣,45
769,2007,23,4-6,嘉義市,1
770,2007,24,0,新北市,2
771,2007,24,7-15,台南市,2
772,2007,25,0,南投縣,1
773,2007,25,0,彰化縣,14
774,2007,28,0,高雄市,8
775,2007,29,1-3,雲林縣,5
776,2007,1,4-6,新竹市,6
777,2007,3,1-3,雲林縣,2
778,2007,5,0,新竹市,1
779,2007,7,16+,台南市,1
780,2007,7,0,高雄市,1
781,2007,7,7-15,台南市,1
