日期,測站,測項,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2012/01/09,松山,NO,1.1,0.9,0.4,1.1,0.6,0.6,3.2,7.3,10,14,12,8.6,7.7,7.1,11,12,7.8,8.2,8.1,12,7.5,4.2,4.2,2.6
2012/01/09,松山,NO2,10,7.7,5.2,4.8,4.5,6.5,18,29,28,31,33,26,25,20,28,29,26,28,33,37,33,24,26,21
2012/01/09,松山,NOx,11,8.5,5.6,5.9,5.1,7,21,36,38,45,46,35,33,27,39,41,34,36,41,49,41,28,31,23
2012/01/09,松山,O3,33,34,37,37,37,36,25,15,19,13,13,18,19,25,16,15,17,15,11,6.6,10,18,15,0#
2012/01/09,松山,PM10,16,0*,0*,2,3,0*,0*,4,12,16,28,38,22,20,35,35,33,37,34,30,29,21,11,25
2012/01/09,松山,PM2.5,15,8,11,9,20,17,13,350x,349x,3681#,,15,12,11,18,19,19,9,16,20,29,20,20,17
2012/01/09,松山,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.2,NR,NR,NR,NR
2012/01/09,松山,RH,88,89,89,89,89,88,87,87,84,84,86,86,85,83,84,85,85,84,85,87,88,87,87,87
2012/01/09,松山,SO2,1.7,1.1,0.9,0.9,1.1,0.8,1.5,1.6,1.4,1.5,2,1.8,2,1.5,4.1,4.5,2.2,1.6,2.4,3.6,4.7,3.6,5,4.1
2012/01/09,松山,THC,2,2,1.9,1.9,2,2,2,2.1,2.1,2.1,2.2,2.1,2.1,2.1,2.1,2.1,2.1,2.2,2.2,2.2,2.1,2,2.1,2
2012/01/09,松山,WD_HR,76,81,81,77,81,73,74,76,72,77,82,76,73,79,76,75,78,73,84,78,85,86,86,79
2012/01/09,松山,WIND_DIREC,78,79,97,72,80,71,78,74,73,84,76,69,71,81,72,72,70,75,89,83,84,83,85,80
2012/01/09,松山,WIND_SPEED,1.9,2,1.4,1.8,1.8,2.3,1.6,2.2,2.3,1.9,2.1,2.3,2.4,2.2,2.1,3.2,2.4,2.2,1.9,2,2.9,2.2,2.1,2.1
